codigo,descripcion,estado,red,tipo_trabajo,cod_trabajo,provincia,comarca,municipio,presupuesto,certificado,pendiente,fecha_inicio,fecha_fin,mes,año
OT-2025-0006,Trabajo de órdenes de trabajo en Cerdanyola del Vallès,En curso,RED-MT-02 - Red Media Tensión Zona Residencial,Órdenes de Trabajo,CT-003 - Reparación de Averías,Barcelona,Vallès Occidental,Cerdanyola del Vallès,31996.96,17886.83,14110.129999999997,2025-07-11,,2025-07,2025
OT-2024-0007,Trabajo de órdenes de trabajo en Sin municipio,Pendiente,RED-MT-02 - Red Media Tensión Zona Residencial,Órdenes de Trabajo,CT-001 - Revisión General,Navarra,Sin comarca,Sin municipio,16579.56,0.0,16579.56,2024-05-20,,2024-05,2024
GF-2024-0009,Trabajo de garantía y fallos en Sin municipio,En curso,RED-BT-01 - Red Baja Tensión Centro Ciudad,Garantía y Fallos,CT-001 - Revisión General,Navarra,Sin comarca,Sin municipio,21699.13,13853.14,7845.990000000002,2024-04-07,2024-04-23,2024-04,2024
TP-2025-0018,Trabajo de trabajos programados en Sin municipio,Pendiente,RED-AT-01 - Red Alta Tensión Línea Principal,Trabajos Programados,CT-005 - Cambio de Componentes,Madrid,Sin comarca,Sin municipio,25142.35,0.0,25142.35,2025-01-19,,2025-01,2025
TP-2025-0023,Trabajo de trabajos programados en Sin municipio,En curso,RED-MT-02 - Red Media Tensión Zona Residencial,Trabajos Programados,CT-003 - Reparación de Averías,Madrid,Sin comarca,Sin municipio,22474.51,4663.4,17811.11,2025-05-07,,2025-05,2025
GF-2025-0035,Trabajo de garantía y fallos en Pasaia,Pendiente,RED-MT-02 - Red Media Tensión Zona Residencial,Garantía y Fallos,CT-002 - Instalación de Equipos,Gipuzkoa,Donostialdea,Pasaia,37962.8,0.0,37962.8,2025-06-20,,2025-06,2025
GF-2024-0041,Trabajo de garantía y fallos en Sin municipio,Pendiente,RED-MT-02 - Red Media Tensión Zona Residencial,Garantía y Fallos,CT-004 - Calibración de Instrumentos,Madrid,Sin comarca,Sin municipio,45737.52,0.0,45737.52,2024-05-21,,2024-05,2024
OT-2024-0054,Trabajo de órdenes de trabajo en Sin municipio,En curso,RED-MT-02 - Red Media Tensión Zona Residencial,Órdenes de Trabajo,CT-003 - Reparación de Averías,Valencia,Sin comarca,Sin municipio,40935.41,16079.67,24855.740000000005,2024-01-16,,2024-01,2024
GF-2024-0086,Trabajo de garantía y fallos en Portugalete,Finalizado,RED-AT-01 - Red Alta Tensión Línea Principal,Garantía y Fallos,CT-005 - Cambio de Componentes,Bizkaia,Gran Bilbao,Portugalete,15121.94,14922.02,199.92000000000007,2024-09-13,2024-11-12,2024-09,2024
GF-2025-0087,Trabajo de garantía y fallos en Sin municipio,Pendiente,RED-MT-01 - Red Media Tensión Zona Industrial,Garantía y Fallos,CT-002 - Instalación de Equipos,Navarra,Sin comarca,Sin municipio,42517.05,0.0,42517.05,2025-02-06,,2025-02,2025
GF-2024-0100,Trabajo de garantía y fallos en Sin municipio,Pendiente,RED-MT-01 - Red Media Tensión Zona Industrial,Garantía y Fallos,CT-001 - Revisión General,Barcelona,Maresme,Sin municipio,11663.25,0.0,11663.25,2024-08-20,,2024-08,2024
