grupo,cantidad,total_presupuesto,total_certificado,total_pendiente
Vallès Occidental,6,177927.01,89155.59,88771.42
Lea-Artibai,10,343595.81,183703.85,159891.96
Sin comarca,50,1391484.1,554041.28,837442.82
Tolosaldea,6,143513.28,84631.7,58881.58
Duranguesado,2,39507.16,13373.17,26133.99
Cuadrilla de Vitoria,8,192564.88,120630.0,71934.88
Barcelonés,2,27974.33,2656.83,25317.5
Baix Llobregat,3,95182.45,69650.56,25531.89
Maresme,3,85100.58,68380.14,16720.44
Urola Kosta,2,95245.5,48104.56,47140.94
Donostialdea,2,47207.32,6063.4,41143.92
Gran Bilbao,3,92671.33,65819.07,26852.26
Rioja Alavesa,3,93289.61,55765.95,37523.66
