grupo,cantidad,total_presupuesto,total_certificado,total_pendiente
2025-09,9,259542.81,128660.51,130882.3
2024-04,6,228146.29,148843.13,79303.16
2024-06,3,89780.7,16218.96,73561.74
2025-10,6,196242.87,66577.1,129665.77
2025-07,6,132973.85,54970.03,78003.82
2024-05,6,135627.86,33887.53,101740.33
2024-08,3,84481.27,8603.76,75877.51
2025-02,6,181577.88,85965.83,95612.05
2025-06,8,209850.06,66438.93,143411.13
2024-02,4,96194.14,71333.37,24860.77
2024-10,4,104242.32,31843.76,72398.56
2025-01,3,82207.2,39127.14,43080.06
2024-01,7,226250.31,102199.2,124051.11
2025-03,8,188100.15,155483.94,32616.21
2025-05,4,99940.78,38768.24,61172.54
2025-04,3,99743.46,76356.05,23387.41
2024-03,3,57958.81,23193.39,34765.42
2024-07,4,120208.53,51531.62,68676.91
2024-09,4,141645.62,79545.93,62099.69
2025-08,3,90548.45,82427.68,8120.77
