año,provincia,cantidad,total_presupuesto,total_certificado,total_pendiente
2025,Madrid,7,154627.84,0.0,154627.84
2024,Barcelona,10,269605.36,148669.59,120935.77
2025,Bizkaia,13,323160.96,151280.29,171880.67
2024,Gipuzkoa,17,483950.74,164945.04,319005.7
2024,Girona,12,317218.89,242248.75,74970.14
2025,Álava,15,396199.14,232926.35,163272.79
2024,Valencia,7,132889.35,79640.25,53249.1
2025,Navarra,10,190641.18,85162.33,105478.85
2024,Álava,12,404107.26,197677.33,206429.93
2024,Bizkaia,15,449641.15,209169.18,240471.97
2025,Valencia,13,341027.68,207906.3,133121.38
2024,Madrid,12,412368.2,146577.7,265790.5
2025,Barcelona,15,335272.0,200820.46,134451.54
2025,Gipuzkoa,10,169832.12,104092.85,65739.27
2025,Girona,15,341354.92,149125.76,192229.16
2024,Navarra,17,379828.17,138292.9,241535.27
