codigo,descripcion,estado,red,tipo_trabajo,tipo_trabajo_codigo,cod_trabajo,tipo_rep,provincia,comarca,municipio,presupuesto,certificado,pendiente,fecha_inicio,fecha_fin,mes,año
GF-2024-0002,Trabajo 2 - Sin municipio,Finalizado,RED-DIST-01,Garantía y Fallos,GF,CT-004,OTROS,Barcelona,Maresme,Sin municipio,43993.92,44672.16,-678.2400000000052,2024-05-26,2024-07-05,2024-05,2024
OT-2024-0005,Trabajo 5 - Sin municipio,Finalizado,RED-AT-01,Órdenes de Trabajo,OT,CT-005,ATASCO,Girona,La Garrotxa,Sin municipio,22708.15,22975.24,-267.09000000000015,2024-10-04,2024-10-18,2024-10,2024
GF-2025-0006,Trabajo 6 - Sin municipio,Finalizado,RED-DIST-01,Garantía y Fallos,GF,CT-005,OTROS,Álava,Rioja Alavesa,Sin municipio,46940.93,49004.58,-2063.6500000000015,2025-03-16,2025-03-30,2025-03,2025
GF-2024-0007,Trabajo 7 - Sin municipio,Finalizado,RED-BT-01,Garantía y Fallos,GF,CT-001,OTROS,Valencia,Horta Sud,Sin municipio,47328.65,42560.46,4768.190000000002,2024-09-13,2024-10-24,2024-09,2024
TP-2024-0009,Trabajo 9 - Sin municipio,Finalizado,RED-DIST-01,Trabajos Programados,TP,CT-001,OTROS,Álava,Rioja Alavesa,Sin municipio,44604.45,42288.95,2315.5,2024-05-09,2024-06-17,2024-05,2024
OT-2024-0011,Trabajo 11 - Sin municipio,Finalizado,RED-MT-02,Órdenes de Trabajo,OT,CT-002,FUGA,Bizkaia,Lea-Artibai,Sin municipio,35587.85,32475.71,3112.1399999999994,2024-04-15,2024-05-09,2024-04,2024
OT-2025-0013,Trabajo 13 - Valencia,Finalizado,RED-AT-01,Órdenes de Trabajo,OT,CT-002,ATASCO,Valencia,Horta Nord,Valencia,21651.95,20359.6,1292.3500000000022,2025-05-07,2025-07-02,2025-05,2025
OT-2025-0014,Trabajo 14 - Sin municipio,Finalizado,RED-BT-01,Órdenes de Trabajo,OT,CT-004,OTROS,Bizkaia,Lea-Artibai,Sin municipio,44297.9,39267.43,5030.470000000001,2025-03-01,2025-04-27,2025-03,2025
OT-2024-0015,Trabajo 15 - Sin municipio,Finalizado,RED-MT-01,Órdenes de Trabajo,OT,CT-004,FUGA,Bizkaia,Duranguesado,Sin municipio,20917.88,18578.8,2339.0800000000017,2024-09-11,2024-10-31,2024-09,2024
GF-2024-0016,Trabajo 16 - Madrid,Finalizado,RED-DIST-01,Garantía y Fallos,GF,CT-004,FUGA,Madrid,Área Metropolitana,Madrid,3588.57,3706.18,-117.60999999999967,2024-03-12,2024-03-18,2024-03,2024
OT-2024-0018,Trabajo 18 - Madrid,Finalizado,RED-DIST-01,Órdenes de Trabajo,OT,CT-004,ATASCO,Madrid,Área Metropolitana,Madrid,45170.69,46181.89,-1011.1999999999971,2024-09-08,2024-11-03,2024-09,2024
